date,company,role,url,requisition_id,location,status,artifact_dir
2026-09-05,AIB,Data Analyst - Group Internal Audit,https://jobs.aib.ie/aib/job/Dublin-Data-Analyst-Group-Internal-Audit-IE/1371348757/,84289,"Dublin, Cork, Galway or Waterford; hybrid",delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/001-aib-data-analyst-f3f24f302d
2026-09-05,Canada Life Group Services,Data Analytics Specialist,https://life-careers.com/canadalifeireland/job/Dublin-Data-Analytics-Specialist/1433379633/,10021,Dublin; hybrid; 9-month contract,delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/002-canada-life-data-analytics-94b877b3b0
2026-09-05,CarTrawler,Customer Insights Analyst,https://corporate.cartrawler.com/en-gb/careers/opportunities/ca988278-6968-451b-bc32-0a3b4e3ee55b/,ca988278-6968-451b-bc32-0a3b4e3ee55b,"Dublin; hybrid, at least 2 office days weekly",delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/003-cartrawler-customer-insights-dcbf46c6fc
2026-09-05,Bank of Ireland,"Data, Technology and Change Graduate Programme 2027",https://careers.bankofireland.com/jobs/data-technology-and-change-graduate-programme-2027-dublin-ireland,programme-2027-data-technology-change,Dublin; hybrid; 2027 programme,delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/004-bank-of-ireland-graduate-data-f42c32d987
2026-09-05,EY,AI & Data Graduate Programme 2027,https://eyglobal.yello.co/jobs/o-mdBAMr_pP3Go7vsz0GaQ?job_board_id=c1riT--B2O-KySgYWsZO1Q,1737553,Cork or Dublin; hybrid; 2027 intake,delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/005-ey-ai-data-graduate-fadf134d59
2026-09-05,Carraig Donn,Junior Business Performance Analyst,https://recruitment.cezannehr.com/shared/job/junior-business-performance-analyst-wes-22de4,junior-business-performance-analyst-wes-22de4,"Westport, Co. Mayo; daily on-site; permanent",delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/006-carraig-donn-business-performance-c2e0e3e025
2026-09-05,FedEx,"Business Analyst - Data, Insights & Workforce Management",https://careers.fedex.com/pt-pt/business-analyst-data-insights-workforce-management-global-trade-services/job/CCB8DC461DBCC02343B25C1C70329131__pt-pt,RC783794,Dublin among five European locations; hybrid; 40 hours weekly,delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/007-fedex-data-insights-9b38bd2fa0
2026-09-05,Kepak Group,Junior Operations Data Analyst - Boning Hall & Abattoir,https://apply.workable.com/kepak/j/18C12557B9/,18C12557B9,"Watergrasshill, Cork; on-site; Mon-Fri 07:00-17:00",delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/008-kepak-operations-data-f8665e4727
2026-09-05,Analytic Partners,Marketing Science Analyst,https://jobs.lever.co/analyticpartners/bfc631d9-db28-4f8f-ba13-940c11b294cf,bfc631d9-db28-4f8f-ba13-940c11b294cf,"Dublin; hybrid, three office days weekly",delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-05/009-analytic-partners-marketing-science-134eda95cf
2026-09-06,Capventis,Graduate Consultant - analytics preference,https://www.capventis.com/about-us/join-us/graduate-consultant-position,graduate-consultant-position,Ireland / UK advertised; request Dublin analytics placement,delivered,/Users/chetan/Desktop/Resume/backup/historical/daily-job-search/2026-09-06/001-capventis-graduate-consultant-e748aa8999
